system:index,NDVI,Plot,albedo,.geo
00000000000000000000_0,0.7540662,BS002,0.056603678,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,0.7355541,BS003,0.071295835,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,0.81510335,BS004,0.0585418,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,0.78608006,BS005,0.06341414,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,0.8090995,BS006,0.072978064,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,0.70672154,BS007,0.086616814,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,0.73580164,BS011,0.09942759,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,0.6845784,BS012,0.0781537,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,0.7875015,BS015,0.054025657,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,0.78903735,BS016,0.055485602,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,0.8029308,BS017,0.06329467,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,0.68637043,BS018,0.06693917,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,0.79002684,BS019,0.0512982,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,0.7481585,BS020,0.07816463,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,0.7981975,BS022,0.06991774,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,0.77704936,BS026,0.074692614,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,0.74793816,BS027,0.05344299,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,0.70639384,BS032,0.09968831,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,0.61228853,BS034,0.0753416,"{""type"":""MultiPoint"",""coordinates"":[]}"
