system:index,BAI,NDVI,Severity,cell_id,elevation,end_date,precipitation,slope,start_date,temperature_2m_max,temperature_2m_min,.geo
"-27008,7961_0",50.17137436637061,0.5587384039934595,0.0,-121.30625017927257_35.7596856723643,19,2019-01-01,1.8486744,5.072216,2018-01-01,293.95890243739296,285.0087429098887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.75964075682365]}"
"-27007,7961_0",43.47383874252807,0.5624159134776977,0.0,-121.30175860291075_35.75968567232881,125,2019-01-01,1.8486744,15.964599,2018-01-01,293.95890243739296,285.0087429098887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.75964075682365]}"
"-27009,7962_0",68.04365557456464,0.4900853498442268,0.0,-121.3107417556869_35.76417724872933,181,2019-01-01,1.8486744,37.341053,2018-01-01,293.95890243739296,285.0087429098887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.76422216477266]}"
"-27008,7962_0",127.25911464859071,0.5149050919400816,0.0,-121.3062501792855_35.76417724870201,270,2019-01-01,1.8486744,14.132218,2018-01-01,293.95890243739296,285.0087429098887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30611543199727,35.76422216477266]}"
"-27007,7962_0",20.14620789690499,0.6776668684411682,0.0,-121.30175860290586_35.76417724873219,275,2019-01-01,1.8486744,31.593945,2018-01-01,293.95890243739296,285.0087429098887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.76422216477266]}"
"-27006,7962_0",48.09270715430991,0.4351959189525285,0.0,-121.29726702636071_35.76417724872694,315,2019-01-01,1.7667339,28.491955,2018-01-01,293.95890243739296,285.0087429098887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.76422216477266]}"
"-27005,7962_0",34.837130609273046,0.283113797790746,0.0,-121.2927754501071_35.764177248694786,388,2019-01-01,1.7667339,15.343294,2018-01-01,293.95890243739296,285.0087429098887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29291019732072,35.76422216477266]}"
"-27009,7963_0",37.65100961940431,0.3028804993831095,0.0,-121.31074175570203_35.76866882519699,356,2019-01-01,1.8486744,20.700367,2018-01-01,293.95890243739296,285.0087429098887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.31069683994629,35.76853407813643]}"
"-27008,7963_0",29.66288897392553,0.3020855824661978,0.0,-121.30625017931094_35.76866882519759,392,2019-01-01,1.8486744,7.058828,2018-01-01,293.95890243739296,285.0087429098887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.30638492658251,35.76853407813643]}"
"-27007,7963_0",41.494939213246475,0.2748042172710408,0.0,-121.30175860287288_35.76866882517237,471,2019-01-01,1.8486744,14.3175,2018-01-01,293.95890243739296,285.0087429098887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3018035186335,35.76853407813643]}"
"-27006,7963_0",33.00523514929788,0.27872894391432684,0.0,-121.29726702638074_35.76866882518616,475,2019-01-01,1.7667339,43.22908,2018-01-01,293.95890243739296,285.0087429098887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29722211068449,35.76853407813643]}"
"-27005,7963_0",43.40589919658687,0.5221568054853697,0.0,-121.2927754500855_35.76866882521934,426,2019-01-01,1.7667339,21.294554,2018-01-01,293.95890243739296,285.0087429098887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29291019732072,35.76853407813643]}"
