system:index,BAI,DSM,NDVI,Plot,Severity,end_date,precipitation,start_date,temperature_2m_max,temperature_2m_min,.geo
3_00000000000000000014_0,39.619225931334974,34.0,0.37932290911599137,BS038,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000015_0,39.619225931334974,34.0,0.37932290911599137,BS044,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000016_0,39.619225931334974,34.0,0.37932290911599137,BS045,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000017_0,39.619225931334974,34.0,0.37932290911599137,BS046,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000018_0,39.619225931334974,34.0,0.37932290911599137,BS047,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000019_0,39.619225931334974,34.0,0.37932290911599137,BS048,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000001a_0,39.619225931334974,34.0,0.37932290911599137,BS050,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000001b_0,39.619225931334974,34.0,0.37932290911599137,BS052,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000001c_0,39.619225931334974,34.0,0.37932290911599137,BS053,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000001e_0,39.619225931334974,34.0,0.37932290911599137,BS057,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000001f_0,39.619225931334974,34.0,0.37932290911599137,BS058,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000020_0,39.619225931334974,34.0,0.37932290911599137,BS059,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000021_0,39.619225931334974,34.0,0.37932290911599137,BS060,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000022_0,39.619225931334974,34.0,0.37932290911599137,BS062,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000023_0,39.619225931334974,34.0,0.37932290911599137,BS063,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000024_0,39.619225931334974,34.0,0.37932290911599137,BS066,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000025_0,39.619225931334974,34.0,0.37932290911599137,BS070,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000026_0,39.619225931334974,34.0,0.37932290911599137,BS071,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000027_0,39.619225931334974,34.0,0.37932290911599137,BS072,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000028_0,39.619225931334974,34.0,0.37932290911599137,BS073,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000029_0,39.619225931334974,34.0,0.37932290911599137,BS076,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000002a_0,39.619225931334974,34.0,0.37932290911599137,BS077,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
