system:index,BAI,DSM,NDVI,Plot,Severity,end_date,precipitation,start_date,temperature_2m_max,temperature_2m_min,.geo
3_00000000000000000014_0,46.155477203159705,34.0,0.372704629292794,BS038,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000015_0,46.155477203159705,34.0,0.372704629292794,BS044,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000016_0,46.155477203159705,34.0,0.372704629292794,BS045,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000017_0,46.155477203159705,34.0,0.372704629292794,BS046,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000018_0,46.155477203159705,34.0,0.372704629292794,BS047,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000019_0,46.155477203159705,34.0,0.372704629292794,BS048,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000001a_0,46.155477203159705,34.0,0.372704629292794,BS050,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000001b_0,46.155477203159705,34.0,0.372704629292794,BS052,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000001c_0,46.155477203159705,34.0,0.372704629292794,BS053,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000001e_0,46.155477203159705,34.0,0.372704629292794,BS057,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000001f_0,46.155477203159705,34.0,0.372704629292794,BS058,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000020_0,46.155477203159705,34.0,0.372704629292794,BS059,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000021_0,46.155477203159705,34.0,0.372704629292794,BS060,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000022_0,46.155477203159705,34.0,0.372704629292794,BS062,3.0,2010-01-01,0.07053687,2009-01-01,294.81139914194745,282.516719977061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
