system:index,Plot,grtgroup,.geo
00000000000000000000_0,BS002,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,BS003,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,BS004,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,BS005,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,BS006,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,BS007,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,BS011,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,BS012,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,BS015,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,BS016,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,BS017,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,BS018,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,BS019,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,BS020,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,BS022,228,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,BS026,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,BS027,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,BS032,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,BS034,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,BS035,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,BS038,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,BS044,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,BS045,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,BS046,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,BS047,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,BS048,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,BS050,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,BS052,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,BS053,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,BS054,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,BS057,228,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,BS058,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,BS059,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,BS060,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,BS062,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0,BS063,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024_0,BS066,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025_0,BS070,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026_0,BS071,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027_0,BS072,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_0,BS073,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029_0,BS076,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_0,BS077,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_0,BS078,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_0,BS079,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d_0,BS080,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_0,BS081,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_0,BS083,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030_0,BS084,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031_0,BS085,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032_0,BS086,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033_0,BS087,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034_0,BS088,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035_0,BS089,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036_0,BS090,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037_0,BS092,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038_0,BS094,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_0,BS098,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a_0,BS102,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_0,BS103,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c_0,BS111,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d_0,BS112,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e_0,BS118,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f_0,BS119,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_0,BS121,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041_0,BS122,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042_0,BS123,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043_0,BS124,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_0,BS125,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_0,BS126,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046_0,BS128,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,BS129,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048_0,BS130,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049_0,BS131,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_0,BS132,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b_0,BS133,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_0,BS134,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d_0,BS135,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e_0,BS137,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_0,BS138,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050_0,BS139,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051_0,BS140,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052_0,BS141,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053_0,BS144,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054_0,BS146,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055_0,BS147,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056_0,BS148,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057_0,BS149,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058_0,BS150,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059_0,BS151,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a_0,BS152,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b_0,BS156,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c_0,BS157,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d_0,BS158,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e_0,BS159,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f_0,BS160,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060_0,BS161,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_0,BS162,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062_0,BS163,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063_0,BS165,228,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064_0,BS166,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065_0,BS167,228,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066_0,BS168,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067_0,BS172,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068_0,BS175,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_0,BS176,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_0,BS177,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b_0,BS186,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c_0,BS187,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d_0,BS188,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_0,BS190,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f_0,BS193,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_0,BS194,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071_0,BS195,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072_0,BS196,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_0,BS201,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074_0,BS202,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_0,BS203,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076_0,BS204,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077_0,BS205,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078_0,BS207,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079_0,BS210,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a_0,BS217,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b_0,BS218,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c_0,BS219,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d_0,BS220,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_0,BS221,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f_0,BS222,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080_0,BS223,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_0,BS224,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082_0,BS226,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_0,BS228,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084_0,BS229,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085_0,BS230,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086_0,BS232,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087_0,BS233,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088_0,BS234,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089_0,BS236,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a_0,BS239,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b_0,BS240,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c_0,BS241,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d_0,BS242,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e_0,BS243,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f_0,BS244,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090_0,BS245,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091_0,BS246,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092_0,BS247,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093_0,BS248,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094_0,BS249,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
