system:index,Plot,b0,b10,b30,.geo
00000000000000000000_0,BS002,7,5,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,BS003,14,8,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,BS004,7,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,BS005,8,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,BS006,7,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,BS007,8,6,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,BS011,7,6,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,BS012,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,BS015,7,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,BS016,8,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,BS017,6,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,BS018,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,BS019,7,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,BS020,7,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,BS022,8,8,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,BS026,6,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,BS027,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,BS032,4,4,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,BS034,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,BS035,5,4,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,BS038,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,BS044,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,BS045,7,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,BS046,6,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,BS047,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,BS048,7,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,BS050,9,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,BS052,5,4,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,BS053,7,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,BS054,5,4,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,BS057,6,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,BS058,7,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,BS059,7,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,BS060,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,BS062,7,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0,BS063,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024_0,BS066,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025_0,BS070,4,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026_0,BS071,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
