"","Plot","SampleYear","Elevation","Slope","BurnScar","PRam","Fire","HostCwdMass","PlotCwdMass","DeadHostBiomass"
"1","BS002",2022,359,33,"control",1,0,20.7741178367837,20.7741178367837,95101.682049662
"2","BS020",2011,386,23,"control",0,0,5.47437437417606,5.6317213551141,NA
"3","BS020",2014,386,23,"control",0,0,5.88505233244723,6.04239931338526,NA
"4","BS020",2019,386,23,"control",1,0,11.5909638456515,11.7483108265896,NA
"5","BS020",2022,386,23,"control",1,0,8.91883596482407,9.07618294576211,29146.0447273111
"6","BS027",2009,244,41,"control",0,0,5.48935064976784,14.4249456656243,NA
"7","BS027",2010,244,41,"control",0,0,5.48935064976784,14.2228146918208,53918.6511708826
"8","BS027",2013,244,41,"control",1,0,5.48935064976784,16.4755571504476,50043.4967432039
"9","BS027",2018,244,41,"control",1,0,64.2302545461694,75.057134098081,33983.4778061848
"10","BS027",2022,244,41,"control",1,0,77.0489290124971,85.3141110244281,76.5899916614138
"11","BS044",2011,700,35,"dolan_chalk",0,1,1.5709172352116,1.5709172352116,NA
"12","BS044",2014,700,35,"dolan_chalk",0,1,1.08282543536504,1.08282543536504,1917.98438953674
"13","BS044",2019,700,35,"dolan_chalk",1,1,1.08282543536504,1.08282543536504,3256.84675531633
"14","BS044",2021,700,35,"dolan_chalk",1,1,8.41667908347057,8.41667908347057,121.547845891835
"15","BS045",2009,478,39,"dolan_chalk",0,1,31.7424674364818,31.7424674364818,NA
"16","BS046",2011,575,36,"dolan_chalk",0,1,0.3225774419,0.3225774419,NA
"17","BS046",2014,575,36,"dolan_chalk",0,1,29.8023260690682,29.8023260690682,NA
"18","BS046",2019,575,36,"dolan_chalk",1,1,32.5040971234432,32.9358506545896,NA
"19","BS046",2021,575,36,"dolan_chalk",1,1,45.2192817526586,45.2192817526586,4.9394846462993
"20","BS047",2009,679,33,"dolan_chalk",0,1,0.262875314010467,0.262875314010467,NA
"21","BS047",2011,679,33,"dolan_chalk",0,1,0.262875314010467,0.262875314010467,13.2898599150113
"22","BS047",2014,679,33,"dolan_chalk",0,1,63.5541589347087,63.5541589347087,NA
"23","BS047",2019,679,33,"dolan_chalk",0,1,55.0748980214625,55.0748980214625,NA
"24","BS050",2009,670,18,"dolan_chalk",0,1,2.43214892875411,91.0104338045905,NA
"25","BS052",2013,541,32,"dolan_chalk",0,1,15.8172058663442,42.8205163573943,2307.06714849196
"26","BS052",2018,541,32,"dolan_chalk",0,1,22.0087221043244,48.2311607305414,118.346599603387
"27","BS053",2013,317,38,"dolan_chalk",0,1,1.64890965504608,262.770583512307,NA
"28","BS053",2018,317,38,"dolan_chalk",1,1,1.64890965504608,273.454733975738,NA
"29","BS057",2011,592,31,"dolan_chalk",0,1,18.2246989659321,18.4497565318747,NA
"30","BS057",2014,592,31,"dolan_chalk",0,1,13.8650769229231,15.2414243531033,98098.2823084665
"31","BS057",2019,592,31,"dolan_chalk",1,1,12.4469922879265,13.6124435007292,NA
"32","BS058",2018,744,25,"dolan",0,0,20.0098402879045,27.3852012942245,1419.73078678226
"33","BS060",2021,638,30,"dolan",0,1,4.21875122035516,4.21875122035516,50727.3064498306
"34","BS062",2011,604,15,"dolan",1,0,4.72198940332977,8.77419291435062,NA
"35","BS062",2014,604,15,"dolan",1,0,5.07622476148966,8.95953063962206,NA
"36","BS062",2019,604,15,"dolan",1,0,6.36168475023928,10.2449906283717,50688.7229753989
"37","BS066",2014,720,27,"dolan_chalk",0,1,15.9278606405842,15.9278606405842,14102.7934231074
"38","BS066",2019,720,27,"dolan_chalk",1,1,31.8643417757975,31.8643417757975,61208.8736762753
"39","BS066",2021,720,27,"dolan_chalk",1,1,28.2757026888599,28.2757026888599,176541.481135186
"40","BS071",2021,700,30,"dolan",0,1,23.8308433733841,23.8308433733841,216627.034110229
