"","CwdId","Plot","SampleYear","Fire","PRam","Species","DecayClass","Mass","tInit","t","Mass0","Y"
"1",810,"BS394",2016,0,1,"Redwood",2,0.017356573504378,2016,0,0.017356573504378,0
"2",811,"BS394",2016,0,1,"Redwood",2,0.0541370054135845,2016,0,0.0541370054135845,0
"3",812,"BS394",2016,0,1,"Redwood",2,0.192588073586706,2016,0,0.192588073586706,0
"4",496,"BS429",2013,0,1,"Tanoak",1,0.0502628187168,2010,3,0.0412673810164835,0.197193231239094
"5",497,"BS429",2013,0,1,"Tanoak",4,0.0145351749962922,2009,4,0.0145351749962922,0
"6",498,"BS429",2013,0,1,"Tanoak",4,0.0495506459235232,2009,4,0.0495506459235232,0
"7",500,"BS429",2013,0,1,"Tanoak",2,0.044161916058407,2010,3,0.044161916058407,0
"8",501,"BS429",2013,0,1,"Tanoak",2,0.0687698010804404,2010,3,0.0687698010804404,0
"9",502,"BS429",2013,0,1,"Tanoak",2,0.0261163219829353,2010,3,0.0261163219829353,0
"10",503,"BS429",2013,0,1,"Tanoak",3,0.237257266731412,2010,3,0.237257266731412,0
"11",504,"BS429",2013,0,1,"Tanoak",5,0.0714953846170672,2010,3,0.0714953846170672,0
"12",505,"BS429",2013,0,1,"Tanoak",3,0.0863766543802019,2009,4,0.0863766543802019,0
"13",506,"BS433",2013,1,1,"Redwood",2,0.0140625272348657,2009,4,0.0140625272348657,-2.66453525910038e-15
"14",507,"BS433",2013,1,1,"Redwood",2,0.351533339601021,2009,4,0.300005684167631,0.158503134555686
"15",512,"BS457",2013,1,1,"Tanoak",1,0.518740734233096,2009,4,0.518740734233096,-1.11022302462516e-15
"16",519,"BS457",2013,1,1,"Redwood",1,0.423711314867944,2009,4,0.423711314867944,0
"17",520,"BS457",2013,1,1,"Redwood",1,0.0114053813178064,2010,3,0.0114053813178064,0
"18",521,"BS457",2013,1,1,"Redwood",1,0.158959477350332,2010,3,0.158959477350332,0
"19",522,"BS457",2013,1,1,"Redwood",1,0.0161121171954466,2010,3,0.0161121171954466,0
"20",523,"BS457",2013,1,1,"Redwood",1,0.0307058892632667,2010,3,0.0307058892632667,0
"21",513,"BS457",2013,1,1,"Tanoak",1,0.296643568699645,2013,0,0.296643568699645,0
"22",514,"BS457",2013,1,1,"Tanoak",3,0.0282434171499361,2010,3,0.0282434171499361,0
"23",524,"BS457",2013,1,1,"Redwood",1,0.87708948531369,2009,4,0.87708948531369,0
"24",525,"BS457",2013,1,1,"Redwood",1,0.121341475620077,2009,4,0.121341475620077,0
"25",516,"BS457",2013,1,1,"Tanoak",2,0.147654804886434,2010,3,0.147654804886434,0
"26",517,"BS457",2013,1,1,"Tanoak",3,0.171099374252104,2010,3,0.171099374252104,-2.22044604925032e-15
"27",518,"BS457",2013,1,1,"Tanoak",3,0.0517765854770535,2009,4,0.0517765854770535,0
"28",527,"BS457",2013,1,1,"Redwood",1,0.346870122614566,2010,3,0.346870122614566,-1.11022302462516e-15
"29",685,"BS457",2013,1,1,"Tanoak",1,0.0732912936040562,2013,0,0.0732912936040562,0
"30",686,"BS457",2013,1,1,"Redwood",1,0.0123011970596941,2013,0,0.0123011970596941,0
"31",687,"BS457",2013,1,1,"Tanoak",3,0.058818369809278,2013,0,0.058818369809278,0
"32",688,"BS457",2013,1,1,"Tanoak",2,0.0494336972215345,2013,0,0.0494336972215345,0
"33",689,"BS457",2013,1,1,"Tanoak",1,0.327591431585801,2013,0,0.327591431585801,0
"34",690,"BS457",2013,1,1,"Tanoak",1,0.158409264842315,2013,0,0.158409264842315,0
"35",530,"BS494",2013,0,1,"Tanoak",3,0.0154397347086318,2010,3,0.0154397347086318,0
"36",531,"BS494",2013,0,1,"Tanoak",2,0.0993239589401399,2010,3,0.0993239589401399,0
"37",534,"BS494",2013,0,1,"Redwood",2,0.0326230961312808,2010,3,0.0326230961312808,0
"38",532,"BS494",2013,0,1,"Tanoak",2,0.235342524263435,2010,3,0.235342524263435,0
"39",542,"BS601",2013,0,1,"Tanoak",2,0.132706028777932,2009,4,0.132706028777932,0
"40",543,"BS601",2013,0,1,"Tanoak",2,0.0154545815029578,2009,4,0.0154545815029578,0
"41",544,"BS603",2013,0,1,"Tanoak",1,1.67735089841512,2013,0,1.67735089841512,0
"42",545,"BS603",2013,0,1,"Tanoak",5,0.0583168437378132,2010,3,0.0583168437378132,0
