"","Plot","SampleYear","BurnScar","PRam","PlotCwdMass"
"1","BS002",2022,"control",1,20.7741178367837
"2","BS016",2011,"control",0,3.60908864687308
"3","BS016",2014,"control",0,5.47149833181817
"4","BS020",2011,"control",0,5.6317213551141
"5","BS020",2014,"control",0,6.04239931338526
"6","BS020",2019,"control",1,11.7483108265896
"7","BS020",2022,"control",1,9.07618294576211
"8","BS027",2009,"control",0,14.4249456656243
"9","BS027",2010,"control",0,14.2228146918208
"10","BS027",2013,"control",1,16.4755571504476
"11","BS027",2018,"control",1,75.057134098081
"12","BS027",2022,"control",1,85.3141110244281
"13","BS032",2019,"control",0,0.943703445639624
"14","BS032",2022,"control",0,0.943703445639624
"15","BS044",2011,"dolan_chalk",0,1.5709172352116
"16","BS044",2014,"dolan_chalk",0,1.08282543536504
"17","BS044",2019,"dolan_chalk",1,1.08282543536504
"18","BS044",2021,"dolan_chalk",1,8.41667908347057
"19","BS045",2009,"dolan_chalk",0,31.7424674364818
"20","BS046",2011,"dolan_chalk",0,0.3225774419
"21","BS046",2014,"dolan_chalk",0,29.8023260690682
"22","BS046",2019,"dolan_chalk",1,32.9358506545896
"23","BS046",2021,"dolan_chalk",1,45.2192817526586
"24","BS047",2009,"dolan_chalk",0,0.262875314010467
"25","BS047",2011,"dolan_chalk",0,0.262875314010467
"26","BS047",2014,"dolan_chalk",0,63.5541589347087
"27","BS047",2019,"dolan_chalk",0,55.0748980214625
"28","BS048",2009,"dolan_chalk",0,6.36180244904972
"29","BS048",2021,"dolan_chalk",0,47.5117029427385
"30","BS050",2009,"dolan_chalk",0,91.0104338045905
"31","BS052",2009,"dolan_chalk",0,6.61171911616405
"32","BS052",2010,"dolan_chalk",0,6.64548590554628
"33","BS052",2013,"dolan_chalk",0,42.8205163573943
"34","BS052",2018,"dolan_chalk",0,48.2311607305414
"35","BS052",2021,"dolan_chalk",0,3.37331623911595
"36","BS053",2009,"dolan_chalk",0,238.366558948602
"37","BS053",2010,"dolan_chalk",0,254.272771858259
"38","BS053",2010,"dolan_chalk",0,254.272771858259
"39","BS053",2013,"dolan_chalk",0,262.770583512307
"40","BS053",2018,"dolan_chalk",1,273.454733975738
"41","BS053",2021,"dolan_chalk",1,2.56887997904615
"42","BS054",2011,"control",0,2.28756814040776
"43","BS054",2014,"control",0,2.28756814040776
"44","BS057",2011,"dolan_chalk",0,18.4497565318747
"45","BS057",2014,"dolan_chalk",0,15.2414243531033
"46","BS057",2019,"dolan_chalk",1,13.6124435007292
"47","BS058",2009,"dolan",0,7.66516946970302
"48","BS058",2010,"dolan",0,7.37536100631992
"49","BS058",2013,"dolan",0,7.37536100631993
"50","BS058",2018,"dolan",0,27.3852012942245
"51","BS060",2021,"dolan",0,4.21875122035516
"52","BS062",2011,"dolan",1,8.77419291435062
"53","BS062",2014,"dolan",1,8.95953063962206
"54","BS062",2019,"dolan",1,10.2449906283717
"55","BS066",2014,"dolan_chalk",0,15.9278606405842
"56","BS066",2019,"dolan_chalk",1,31.8643417757975
"57","BS066",2021,"dolan_chalk",1,28.2757026888599
"58","BS071",2021,"dolan",0,23.8308433733841
"59","BS073",2011,"dolan",1,21.8143084968919
"60","BS073",2014,"dolan",1,22.9137775696086
"61","BS073",2019,"dolan",1,19.8806926844972
"62","BS073",2021,"dolan",1,0.657235228621226
"63","BS077",2023,"sober",1,21.1556799634355
"64","BS077",2023,"sober",1,21.1556799634355
"65","BS078",2023,"sober",1,21.760154549212
"66","BS081",2018,"sober",1,30.3543963522236
"67","BS081",2023,"sober",1,43.8515249422475
"68","BS084",2010,"sober",1,9.13282474107188
"69","BS084",2013,"sober",1,17.4404522743583
"70","BS084",2018,"sober",1,10.1698905203025
"71","BS084",2022,"sober",1,2.70765240008464
"72","BS085",2011,"sober",1,47.8644330873768
"73","BS085",2014,"sober",1,57.0184548405464
"74","BS085",2019,"sober",1,5.43738096411949
"75","BS085",2022,"sober",1,6.87261187784984
"76","BS086",2018,"sober",1,3.28281304994149
"77","BS086",2018,"sober",1,3.28281304994149
"78","BS086",2023,"sober",1,4.29095093780433
"79","BS094",2009,"sober",1,6.19049387111521
"80","BS094",2023,"sober",1,51.3214848265216
"81","BS098",2018,"sober",1,17.3155911688418
"82","BS098",2023,"sober",1,46.8103537812885
"83","BS122",2019,"sober",1,5.88379344715246
"84","BS122",2019,"sober",1,5.88379344715246
"85","BS123",2023,"sober",1,3.11984365038239
"86","BS126",2009,"control",1,0.942757982003521
"87","BS126",2011,"control",1,0.87696928526443
"88","BS126",2014,"control",1,0.87696928526443
"89","BS130",2009,"control",1,11.6728009466892
"90","BS130",2010,"control",1,11.5855651910892
"91","BS130",2013,"control",1,13.7713210816249
"92","BS130",2018,"control",1,18.0793887455249
"93","BS131",2009,"control",0,4.77731165534622
"94","BS131",2010,"control",0,4.77731165534622
"95","BS131",2013,"control",1,4.77731165534622
"96","BS131",2018,"control",1,4.77731165534622
"97","BS132",2011,"sober_chalk",1,3.68512511394707
"98","BS132",2011,"sober_chalk",1,3.68512511394707
"99","BS132",2014,"sober_chalk",1,17.3843756605174
"100","BS132",2014,"sober_chalk",1,17.3843756605174
"101","BS132",2019,"sober_chalk",1,28.8836337007718
"102","BS132",2019,"sober_chalk",1,28.8836337007718
"103","BS132",2022,"sober_chalk",1,26.0538851422814
"104","BS132",2022,"sober_chalk",1,26.0538851422814
"105","BS132",2022,"sober_chalk",1,26.0538851422814
"106","BS134",2018,"sober",1,1.18264937683278
"107","BS134",2023,"sober",1,3.17762021089248
"108","BS138",2009,"control",1,8.66301379206493
"109","BS140",2013,"sober",1,4.5890763146368
"110","BS140",2018,"sober",1,99.4741710226665
"111","BS140",2022,"sober",1,99.7752083702444
"112","BS141",2009,"sober",1,21.4543852960858
"113","BS141",2011,"sober",1,41.918151434954
"114","BS141",2014,"sober",1,43.1679431796769
"115","BS146",2009,"sober",1,1.77908086380498
"116","BS146",2011,"sober",1,17.6682185122125
"117","BS146",2014,"sober",1,26.5149816245995
"118","BS147",2009,"sober",1,52.9124809024231
"119","BS147",2010,"sober",1,52.9174522333687
"120","BS147",2013,"sober",1,61.5164945480983
"121","BS147",2018,"sober",1,12.733386686427
"122","BS147",2022,"sober",1,36.9487797433225
"123","BS148",2009,"sober",1,0.276615992489071
"124","BS148",2019,"sober",1,1.81914533347208
"125","BS148",2019,"sober",1,1.81914533347208
"126","BS148",2023,"sober",1,40.742427539893
"127","BS148",2023,"sober",1,40.742427539893
"128","BS149",2023,"sober",1,75.9764799784152
"129","BS149",2023,"sober",1,75.9764799784152
"130","BS150",2011,"sober",1,456.135474526785
"131","BS150",2014,"sober",1,490.009334806697
"132","BS150",2019,"sober",1,4.77101993323671
"133","BS150",2019,"sober",1,4.77101993323671
"134","BS150",2022,"sober",1,81.0314364843518
"135","BS150",2022,"sober",1,81.0314364843518
"136","BS156",2009,"sober_chalk",1,37.1425244778595
"137","BS156",2018,"sober_chalk",1,150.995562605704
"138","BS158",2009,"sober_chalk",0,61.6271863945137
"139","BS158",2011,"sober_chalk",0,64.1091689804054
"140","BS158",2014,"sober_chalk",0,63.5939981795965
"141","BS158",2019,"sober_chalk",1,23.44163531375
"142","BS158",2022,"sober_chalk",1,26.7166264408257
"143","BS159",2009,"sober",1,40.8188031523675
"144","BS159",2018,"sober",1,5.01338383460233
