"","Plot","SampleYear","Species","TotalLivingStem","LiveBiomass","Elevation","Slope","BurnScar","PRam","Fire","HostCwdMass","PlotCwdMass","DeadHostBiomass"
"1","BS002",2022,"LIDE",8,1223.96414921867,359,33,"control","1","0",20.7741178367837,20.7741178367837,95101.682049662
"2","BS002",2022,"QUAG",5,49181.4529317464,359,33,"control","1","0",20.7741178367837,20.7741178367837,95101.682049662
"3","BS002",2022,"SESE",13,298848.317712053,359,33,"control","1","0",20.7741178367837,20.7741178367837,95101.682049662
"4","BS002",2022,"UMCA",32,14741.693119728,359,33,"control","1","0",20.7741178367837,20.7741178367837,95101.682049662
"5","BS020",2022,"LIDE",4,74.2075419024674,386,23,"control","1","0",8.91883596482407,9.07618294576211,29146.0447273111
"6","BS020",2022,"QUAG",13,105138.767312204,386,23,"control","1","0",8.91883596482407,9.07618294576211,29146.0447273111
"7","BS020",2022,"UMCA",64,25239.1155949461,386,23,"control","1","0",8.91883596482407,9.07618294576211,29146.0447273111
"8","BS027",2010,"LIDE",26,75516.1915969228,244,41,"control","0","0",5.48935064976784,14.2228146918208,53918.6511708826
"9","BS027",2010,"SESE",13,702157.194273246,244,41,"control","0","0",5.48935064976784,14.2228146918208,53918.6511708826
"10","BS027",2013,"LIDE",26,68232.2291470315,244,41,"control","1","0",5.48935064976784,16.4755571504476,50043.4967432039
"11","BS027",2013,"SESE",13,716350.288811182,244,41,"control","1","0",5.48935064976784,16.4755571504476,50043.4967432039
"12","BS027",2018,"LIDE",14,197.637754424037,244,41,"control","1","0",64.2302545461694,75.057134098081,33983.4778061848
"13","BS027",2018,"SESE",12,721702.228380531,244,41,"control","1","0",64.2302545461694,75.057134098081,33983.4778061848
"14","BS027",2022,"LIDE",11,222.320009324002,244,41,"control","1","0",77.0489290124971,85.3141110244281,76.5899916614138
"15","BS027",2022,"SESE",12,776574.255069103,244,41,"control","1","0",77.0489290124971,85.3141110244281,76.5899916614138
"16","BS027",2022,"UMCA",1,19.9896911223752,244,41,"control","1","0",77.0489290124971,85.3141110244281,76.5899916614138
"17","BS044",2014,"QUAG",10,226280.494341955,700,35,"dolan_chalk","0","1",1.08282543536504,1.08282543536504,1917.98438953674
"18","BS044",2019,"QUAG",9,227938.514086588,700,35,"dolan_chalk","1","1",1.08282543536504,1.08282543536504,3256.84675531633
"19","BS044",2021,"QUAG",8,235282.331049438,700,35,"dolan_chalk","1","1",8.41667908347057,8.41667908347057,121.547845891835
"20","BS046",2021,"QUAG",4,66036.8326502366,575,36,"dolan_chalk","1","1",45.2192817526586,45.2192817526586,4.9394846462993
"21","BS046",2021,"UMCA",8,53468.7971932647,575,36,"dolan_chalk","1","1",45.2192817526586,45.2192817526586,4.9394846462993
"22","BS047",2011,"QUAG",12,384220.898370203,679,33,"dolan_chalk","0","1",0.262875314010467,0.262875314010467,13.2898599150113
"23","BS052",2013,"LIDE",25,152088.327855958,541,32,"dolan_chalk","0","1",15.8172058663442,42.8205163573943,2307.06714849196
"24","BS052",2013,"SESE",47,233095.122426654,541,32,"dolan_chalk","0","1",15.8172058663442,42.8205163573943,2307.06714849196
"25","BS052",2013,"UMCA",26,683.671312159855,541,32,"dolan_chalk","0","1",15.8172058663442,42.8205163573943,2307.06714849196
"26","BS052",2018,"LIDE",34,70728.543950816,541,32,"dolan_chalk","0","1",22.0087221043244,48.2311607305414,118.346599603387
"27","BS052",2018,"SESE",61,221631.235016782,541,32,"dolan_chalk","0","1",22.0087221043244,48.2311607305414,118.346599603387
"28","BS052",2018,"UMCA",30,2861.88822563952,541,32,"dolan_chalk","0","1",22.0087221043244,48.2311607305414,118.346599603387
"29","BS057",2014,"QUAG",1,13125.0228251199,592,31,"dolan_chalk","0","1",13.8650769229231,15.2414243531033,98098.2823084665
"30","BS057",2014,"UMCA",9,76759.8978008657,592,31,"dolan_chalk","0","1",13.8650769229231,15.2414243531033,98098.2823084665
"31","BS058",2018,"ARME",1,11.6663002408312,744,25,"dolan","0","0",20.0098402879045,27.3852012942245,1419.73078678226
"32","BS058",2018,"LIDE",110,26827.5628444788,744,25,"dolan","0","0",20.0098402879045,27.3852012942245,1419.73078678226
