Plot,SampleYear,Elevation,Slope,BurnScar,PRam,Fire,Easting,Northing
BS002,2006,359,33,control,0,0,645606.34,3969192.81
BS002,2010,359,33,control,0,0,645606.34,3969192.81
BS002,2013,359,33,control,0,0,645606.34,3969192.81
BS002,2018,359,33,control,1,0,645606.34,3969192.81
BS002,2022,359,33,control,1,0,645606.34,3969192.81
BS003,2006,387,14,control,0,0,645192,3968585
BS004,2006,778,35,control,0,0,647467.166,3969483.484
BS005,2006,839,37,control,0,0,648062.168,3969515.766
BS006,2006,800,33,control,0,0,648646.213,3969732.21
BS007,2006,885,35,control,0,0,649956.78,3969434.362
BS007,2006,885,35,control,0,0,649956.78,3969434.362
BS011,2007,492,33,control,0,0,647115.294,3966220.184
BS012,2007,350,22,control,0,0,647090.488,3965577.687
BS015,2006,364,38,control,0,0,649665,3965835
BS016,2006,430,33,control,0,0,650169.324,3965880.676
BS016,2011,430,33,control,0,0,650169.324,3965880.676
BS016,2014,430,33,control,0,0,650169.324,3965880.676
BS017,2006,508,34,control,0,0,650648.892,3965824.135
BS018,2006,601,32,control,0,0,651003.261,3965656.614
BS019,2006,435,37,control,0,0,649703.612,3966330.037
BS020,2006,386,23,control,0,0,649849.72,3966771.694
BS020,2011,386,23,control,0,0,649849.72,3966771.694
BS020,2014,386,23,control,0,0,649849.72,3966771.694
BS020,2019,386,23,control,1,0,649849.72,3966771.694
BS020,2022,386,23,control,1,0,649849.72,3966771.694
BS022,2007,631,32,control,0,0,650092.052,3967957.163
BS026,2006,220,15,control,0,0,642089,3974194
BS027,2009,244,41,control,0,0,641619,3973753
BS027,2006,244,41,control,0,0,641619,3973753
BS027,2010,244,41,control,0,0,641619,3973753
BS027,2013,244,41,control,1,0,641619,3973753
BS027,2018,244,41,control,1,0,641619,3973753
BS027,2022,244,41,control,1,0,641619,3973753
BS032,2007,296,21,control,0,0,650178.125,3962804.048
BS032,2011,296,21,control,0,0,650178.125,3962804.048
BS032,2014,296,21,control,0,0,650178.125,3962804.048
BS032,2019,296,21,control,0,0,650178.125,3962804.048
BS032,2022,296,21,control,0,0,650178.125,3962804.048
BS034,2007,637,24,control,0,0,651170.79,3963050.561
BS035,2007,372,17,control,0,0,651826.769,3961935.521
BS038,2007,553,33,dolan,1,0,628366.744,3991424.437
BS038,2021,553,33,dolan,1,1,628366.744,3991424.437
BS038,2021,553,33,dolan,1,1,628366.744,3991424.437
BS044,2007,700,35,dolan_chalk,0,0,633590.571,3988463.087
BS044,2011,700,35,dolan_chalk,0,1,633590.571,3988463.087
BS044,2014,700,35,dolan_chalk,0,1,633590.571,3988463.087
BS044,2019,700,35,dolan_chalk,1,1,633590.571,3988463.087
BS044,2021,700,35,dolan_chalk,1,1,633590.571,3988463.087
BS045,2009,478,39,dolan_chalk,0,1,634570.293,3988173.806
BS045,2007,478,39,dolan_chalk,0,0,634570.293,3988173.806
BS045,2011,478,39,dolan_chalk,1,1,634570.293,3988173.806
BS045,2014,478,39,dolan_chalk,1,1,634570.293,3988173.806
