"","Plot","SampleYear","Species","TotalStem","LiveBiomass","Elevation","Slope","BurnScar","PRam","Fire"
"1","BS002",2006,"LIDE",50,59774.9879287235,359,33,"control",0,0
"2","BS002",2006,"QUAG",9,75068.6896827477,359,33,"control",0,0
"3","BS002",2006,"SESE",16,230774.647061315,359,33,"control",0,0
"4","BS002",2006,"UMCA",41,7096.90685344947,359,33,"control",0,0
"5","BS002",2010,"LIDE",49,76977.322390196,359,33,"control",0,0
"6","BS002",2010,"QUAG",6,73998.5036008476,359,33,"control",0,0
"7","BS002",2010,"SESE",16,252610.727087241,359,33,"control",0,0
"8","BS002",2010,"UMCA",42,8760.89148818354,359,33,"control",0,0
"9","BS002",2013,"LIDE",51,90991.9454247409,359,33,"control",0,0
"10","BS002",2013,"QUAG",6,70504.8809630932,359,33,"control",0,0
"11","BS002",2013,"SESE",18,269288.119540809,359,33,"control",0,0
"12","BS002",2013,"UMCA",40,10050.4387375196,359,33,"control",0,0
"13","BS002",2018,"LIDE",17,78192.5890681315,359,33,"control",1,0
"14","BS002",2018,"QUAG",6,71764.1773337168,359,33,"control",1,0
"15","BS002",2018,"SESE",17,283484.052448855,359,33,"control",1,0
"16","BS002",2018,"UMCA",34,11419.8682479854,359,33,"control",1,0
"17","BS002",2022,"LIDE",8,1223.96414921867,359,33,"control",1,0
"18","BS002",2022,"QUAG",5,49181.4529317464,359,33,"control",1,0
"19","BS002",2022,"SESE",13,298848.317712053,359,33,"control",1,0
"20","BS002",2022,"UMCA",32,14741.693119728,359,33,"control",1,0
"21","BS003",2006,"LIDE",10,3212.74984126497,387,14,"control",0,0
"22","BS003",2006,"QUAG",10,234366.449309943,387,14,"control",0,0
"23","BS003",2006,"UMCA",1,4.12512347632583,387,14,"control",0,0
"24","BS004",2006,"LIDE",10,5042.53059241238,778,35,"control",0,0
"25","BS004",2006,"QUAG",59,15798.9016322022,778,35,"control",0,0
"26","BS005",2006,"LIDE",70,23800.9592040171,839,37,"control",0,0
"27","BS005",2006,"QUAG",29,25751.3751324552,839,37,"control",0,0
"28","BS005",2006,"UMCA",19,2295.9992196677,839,37,"control",0,0
"29","BS006",2006,"ARME",25,293.127170691059,800,33,"control",0,0
"30","BS006",2006,"LIDE",380,78614.829142772,800,33,"control",0,0
"31","BS006",2006,"UMCA",5,459.361201077457,800,33,"control",0,0
"32","BS007",2006,"QUAG",9,48509.289018597,885,35,"control",0,0
"33","BS007",2006,"QUAG",9,48509.289018597,885,35,"control",0,0
"34","BS007",2006,"UMCA",270,17534.2750633897,885,35,"control",0,0
"35","BS007",2006,"UMCA",270,17534.2750633897,885,35,"control",0,0
"36","BS011",2007,"QUAG",61,150632.248541796,492,33,"control",0,0
"37","BS011",2007,"UMCA",2,178.626012767121,492,33,"control",0,0
"38","BS012",2007,"QUAG",39,342971.20197896,350,22,"control",0,0
"39","BS015",2006,"PSME",1,12.0963832810665,364,38,"control",0,0
"40","BS015",2006,"UMCA",62,102587.047625678,364,38,"control",0,0
"41","BS016",2006,"ARME",2,4.38013459826612,430,33,"control",0,0
"42","BS016",2006,"LIDE",2,8.01811939196623,430,33,"control",0,0
"43","BS016",2006,"PSME",5,67375.2728579531,430,33,"control",0,0
"44","BS016",2006,"UMCA",8,14212.570207828,430,33,"control",0,0
"45","BS016",2011,"ARME",2,8.58309611914208,430,33,"control",0,0
"46","BS016",2011,"LIDE",2,13.2443806061328,430,33,"control",0,0
"47","BS016",2011,"PSME",6,89530.5492931935,430,33,"control",0,0
"48","BS016",2011,"UMCA",7,16198.7073226031,430,33,"control",0,0
"49","BS016",2014,"ARME",2,19.3550208211995,430,33,"control",0,0
"50","BS016",2014,"LIDE",2,17.4119628040983,430,33,"control",0,0
"51","BS016",2014,"PSME",6,97651.0249979568,430,33,"control",0,0
"52","BS016",2014,"UMCA",7,16080.8562793136,430,33,"control",0,0
"53","BS017",2006,"ARME",4,105.237594098346,508,34,"control",0,0
"54","BS017",2006,"LIDE",77,37627.6425574296,508,34,"control",0,0
"55","BS017",2006,"UMCA",3,874.513386500863,508,34,"control",0,0
"56","BS018",2006,"ARME",8,9703.43932328285,601,32,"control",0,0
"57","BS018",2006,"UMCA",24,1253.78878664683,601,32,"control",0,0
"58","BS019",2006,"UMCA",108,23780.2125494814,435,37,"control",0,0
"59","BS020",2006,"LIDE",7,2268.74635686523,386,23,"control",0,0
"60","BS020",2006,"QUAG",8,139132.852290061,386,23,"control",0,0
"61","BS020",2006,"UMCA",112,21889.7388825524,386,23,"control",0,0
"62","BS020",2011,"LIDE",8,3660.56321390919,386,23,"control",0,0
"63","BS020",2011,"QUAG",11,141138.740032217,386,23,"control",0,0
"64","BS020",2011,"UMCA",99,24232.8265753456,386,23,"control",0,0
"65","BS020",2014,"LIDE",8,3579.89367082094,386,23,"control",0,0
"66","BS020",2014,"QUAG",12,146747.252787261,386,23,"control",0,0
