Plot,SampleYear,Species,DecayClass,VolumePlot,Density,MassPlot
BS048,2021,ARME,1,4.597973275,0.4566966,2.099878762
BS085,2019,ARME,1,0.170568846,0.4566966,0.077898212
BS085,2022,ARME,1,0.170568846,0.4566966,0.077898212
BS086,2023,ARME,1,0.177468569,0.4566966,0.081049292
BS149,2023,ARME,1,2.784020505,0.4566966,1.271452699
BS150,2014,ARME,1,4.24309337,0.4566966,1.937806316
BS158,2019,ARME,1,0.27537599,0.4566966,0.125763278
BS158,2022,ARME,1,0.633928159,0.4566966,0.289512835
BS165,2013,ARME,1,0.080418567,0.4566966,0.036726886
BS175,2011,ARME,1,0.677714813,0.4566966,0.309510051
BS175,2014,ARME,1,2.432008425,0.4566966,1.110689979
BS272,2019,ARME,1,0.457101731,0.4566966,0.208756806
BS272,2022,ARME,1,0.457101731,0.4566966,0.208756806
BS306,2019,ARME,1,0.608386107,0.4566966,0.277847867
BS373,2022,ARME,1,0.657104159,0.4566966,0.300097235
BS390,2018,ARME,1,0.092582736,0.4566966,0.042282221
BS390,2022,ARME,1,0.092582736,0.4566966,0.042282221
BS427,2019,ARME,1,0.420124557,0.4566966,0.191869457
BS427,2023,ARME,1,0.420124557,0.4566966,0.191869457
BS438,2022,ARME,1,0.034557519,0.4566966,0.015782301
BS600,2023,ARME,1,0.454301787,0.4566966,0.207478081
BS633,2014,ARME,1,0.02984513,0.4566966,0.013630169
BS633,2019,ARME,1,0.391790965,0.4566966,0.178929602
BS633,2023,ARME,1,0.794117811,0.4566966,0.362670904
BS048,2009,ARME,2,0.056941367,0.571255828,0.032528088
BS078,2023,ARME,2,0.19090683,0.571255828,0.109056639
BS085,2011,ARME,2,2.962796942,0.571255828,1.69251502
BS085,2014,ARME,2,2.962796942,0.571255828,1.69251502
BS158,2009,ARME,2,4.919237606,0.571255828,2.810143152
BS158,2011,ARME,2,4.919237606,0.571255828,2.810143152
BS158,2014,ARME,2,4.919237606,0.571255828,2.810143152
BS158,2019,ARME,2,0.173962237,0.571255828,0.099376942
BS158,2022,ARME,2,0.173962237,0.571255828,0.099376942
BS165,2018,ARME,2,0.942620699,0.571255828,0.538477568
BS165,2022,ARME,2,1.023039267,0.571255828,0.584417144
BS271,2009,ARME,2,0.535092083,0.571255828,0.305674471
BS306,2019,ARME,2,0.841021161,0.571255828,0.48043824
BS360,2014,ARME,2,0.035873061,0.571255828,0.020492695
BS438,2019,ARME,2,0.034557519,0.571255828,0.019741184
BS633,2011,ARME,2,0.02984513,0.571255828,0.017049204
BS633,2019,ARME,2,2.27040863,0.571255828,1.296984162
BS633,2023,ARME,2,1.758236743,0.571255828,1.004402986
BS073,2011,ARME,3,0.204776078,0.500007079,0.102389489
BS073,2014,ARME,3,0.16229664,0.500007079,0.081149469
BS078,2023,ARME,3,0.865587316,0.500007079,0.432799785
BS085,2011,ARME,3,0.039309178,0.500007079,0.019654867
BS085,2014,ARME,3,0.039309178,0.500007079,0.019654867
BS131,2009,ARME,3,0.477724402,0.500007079,0.238865583
BS131,2010,ARME,3,0.477724402,0.500007079,0.238865583
BS131,2013,ARME,3,0.477724402,0.500007079,0.238865583
BS131,2018,ARME,3,0.477724402,0.500007079,0.238865583
BS165,2018,ARME,3,0.03832743,0.500007079,0.019163986
BS306,2019,ARME,3,0.024300219,0.500007079,0.012150282
BS373,2009,ARME,3,0.179901733,0.500007079,0.08995214
BS499,2011,ARME,3,0.251252799,0.500007079,0.125628178
BS499,2014,ARME,3,0.251252799,0.500007079,0.125628178
BS601,2009,ARME,3,3.245202379,0.500007079,1.622624162
BS073,2011,ARME,4,0.146162598,0.315198458,0.046070226
BS073,2014,ARME,4,0.193679438,0.315198458,0.06104746
BS073,2019,ARME,4,0.128805299,0.315198458,0.040599232
BS499,2019,ARME,4,0.251252799,0.315198458,0.079194495
BS499,2022,ARME,4,0.251252799,0.315198458,0.079194495
BS601,2010,ARME,4,3.245202379,0.315198458,1.022882786
